"Index","KrakenXrpUsd.Open","KrakenXrpUsd.High","KrakenXrpUsd.Low","KrakenXrpUsd.Close","KrakenXrpUsd.Volume","KrakenXrpUsd.Adjusted"
2017-07-16T00:00:00.000Z,0.17171,0.17502,0.16720,0.17086,1215828.33814553,0.17086
2017-07-16T04:00:00.000Z,0.17007,0.17015,0.16100,0.16100,1658927.05707278,0.16100
2017-07-16T08:00:00.000Z,0.16100,0.16187,0.12910,0.13300,6353754.30806020,0.13300
2017-07-16T12:00:00.000Z,0.13158,0.15416,0.12660,0.14109,4921574.95763309,0.14109
2017-07-16T16:00:00.000Z,0.14110,0.15356,0.13600,0.13650,2068659.32051842,0.13650
2017-07-16T20:00:00.000Z,0.13649,0.14969,0.13572,0.14692,1589920.57653891,0.14692
2017-07-17T00:00:00.000Z,0.14696,0.15999,0.14539,0.15300,1541373.92623560,0.15300
2017-07-17T04:00:00.000Z,0.15300,0.16519,0.15232,0.16487,1475885.89718467,0.16487
2017-07-17T08:00:00.000Z,0.16251,0.16262,0.14700,0.14810,1339764.42931173,0.14810
2017-07-17T12:00:00.000Z,0.14811,0.15790,0.14469,0.15536,2301534.87866061,0.15536
2017-07-17T16:00:00.000Z,0.15556,0.16349,0.15238,0.16187,2015539.44484785,0.16187
2017-07-17T20:00:00.000Z,0.16187,0.17278,0.16111,0.17275,2317239.29664379,0.17275
2017-07-18T00:00:00.000Z,0.17148,0.17300,0.16067,0.16242,2789268.56239063,0.16242
2017-07-18T04:00:00.000Z,0.16242,0.17432,0.16000,0.17273,1115294.88390305,0.17273
2017-07-18T08:00:00.000Z,0.17258,0.17500,0.16637,0.17450,1320992.73587699,0.17450
2017-07-18T12:00:00.000Z,0.17450,0.18999,0.17042,0.18239,2161237.68015309,0.18239
2017-07-18T16:00:00.000Z,0.18241,0.18692,0.17651,0.18331,1499293.01400831,0.18331
2017-07-18T20:00:00.000Z,0.18331,0.18692,0.17860,0.17910,2252565.97850072,0.17910
2017-07-19T00:00:00.000Z,0.18020,0.18077,0.17005,0.17709,1253898.73313852,0.17709
2017-07-19T04:00:00.000Z,0.18080,0.18340,0.17571,0.18300,913124.44123748,0.18300
2017-07-19T08:00:00.000Z,0.18300,0.18315,0.17709,0.18060,852932.20764796,0.18060
2017-07-19T12:00:00.000Z,0.17992,0.18100,0.17000,0.17467,1339312.06499058,0.17467
2017-07-19T16:00:00.000Z,0.17468,0.17605,0.16200,0.16200,1033335.88119821,0.16200
2017-07-19T20:00:00.000Z,0.16200,0.16799,0.15859,0.16299,1505878.84660563,0.16299
2017-07-20T00:00:00.000Z,0.16152,0.17370,0.15920,0.17128,1468342.78908267,0.17128
2017-07-20T04:00:00.000Z,0.16971,0.17183,0.16604,0.16713,413164.39359931,0.16713
2017-07-20T08:00:00.000Z,0.16815,0.18200,0.16550,0.17999,1158035.54918330,0.17999
2017-07-20T12:00:00.000Z,0.17999,0.18800,0.17380,0.18320,3088286.00178007,0.18320
2017-07-20T16:00:00.000Z,0.18308,0.18789,0.18000,0.18374,1670984.86692161,0.18374
2017-07-20T20:00:00.000Z,0.18526,0.19698,0.18200,0.19123,2862218.51708904,0.19123
2017-07-21T00:00:00.000Z,0.19100,0.19200,0.18125,0.18564,1821099.36673535,0.18564
2017-07-21T04:00:00.000Z,0.18564,0.19148,0.18390,0.19114,1910008.35968360,0.19114
2017-07-21T08:00:00.000Z,0.19114,0.19500,0.18600,0.18949,2013842.61695370,0.18949
2017-07-21T12:00:00.000Z,0.18949,0.19005,0.18730,0.18731,553806.08143459,0.18731
2017-07-21T16:00:00.000Z,0.18870,0.19005,0.18500,0.18530,2364901.68362515,0.18530
2017-07-21T20:00:00.000Z,0.18698,0.18699,0.18300,0.18380,523731.84520982,0.18380
2017-07-22T00:00:00.000Z,0.18350,0.18919,0.18160,0.18647,799042.32440920,0.18647
2017-07-22T04:00:00.000Z,0.18547,0.18984,0.18500,0.18711,629744.55786999,0.18711
2017-07-22T08:00:00.000Z,0.18709,0.18899,0.18520,0.18760,521152.67179162,0.18760
2017-07-22T12:00:00.000Z,0.18770,0.18868,0.18632,0.18750,280845.74841704,0.18750
2017-07-22T16:00:00.000Z,0.18689,0.20498,0.18689,0.19467,2306433.01314181,0.19467
2017-07-22T20:00:00.000Z,0.19467,0.20199,0.19020,0.19750,1892961.83496401,0.19750
2017-07-23T00:00:00.000Z,0.19750,0.20399,0.19600,0.20338,1331836.43693891,0.20338
2017-07-23T04:00:00.000Z,0.20327,0.20748,0.18900,0.19251,3113009.19995286,0.19251
2017-07-23T08:00:00.000Z,0.19040,0.19712,0.18800,0.18885,1705821.45820852,0.18885
2017-07-23T12:00:00.000Z,0.18907,0.19969,0.18800,0.19846,978909.05241599,0.19846
2017-07-23T16:00:00.000Z,0.19693,0.19929,0.19607,0.19928,438093.66222744,0.19928
2017-07-23T20:00:00.000Z,0.19930,0.20363,0.19651,0.19728,486579.09058090,0.19728
2017-07-24T00:00:00.000Z,0.19730,0.19842,0.19483,0.19664,456119.58087191,0.19664
