Index,BTCE.Open,BTCE.High,BTCE.Low,BTCE.Close,BTCE.Volume,BTCE.Adjusted
1974-05-22T21:00:00.000+02:00,700.0,700.0,700.0,700.0,0.12361,700.0
1974-05-27T06:00:00.000+02:00,752.7602,752.7602,752.7602,752.7602,0.017,752.7602
1974-05-28T18:00:00.000+02:00,824.02003,824.02003,824.02003,824.02003,0.019,824.02003
1974-06-01T04:00:00.000+02:00,628.85083,628.85083,628.85083,628.85083,0.013095,628.85083
1974-06-01T17:00:00.000+02:00,480.59008,480.59008,480.59008,480.59008,0.015035,480.59008
1974-06-12T14:00:00.000+02:00,584.45127,584.45127,584.45127,584.45127,0.486712,584.45127
1974-06-24T17:00:00.000+02:00,379.9962,379.9962,379.9962,379.9962,0.01444,379.9962
1974-07-07T09:00:00.000+02:00,233.58531,233.58531,233.58531,233.58531,0.074775,233.58531
1974-07-20T13:00:00.000+02:00,249.6083,249.6083,249.6083,249.6083,1.0,249.6083
1974-07-22T02:00:00.000+02:00,286.78751,286.78751,286.78751,286.78751,0.5,286.78751
1974-07-22T08:00:00.000+02:00,276.1225,276.1225,276.1225,276.1225,2.22,276.1225
1974-07-22T12:00:00.000+02:00,281.69369,281.69369,281.69369,281.69369,0.01264,281.69369
1974-07-25T19:00:00.000+02:00,237.0,237.0,237.0,237.0,0.1,237.0
1974-08-08T20:00:00.000+02:00,455.0,455.0,455.0,455.0,5.75,455.0
1974-08-10T23:00:00.000+02:00,382.9999,382.9999,382.9999,382.9999,0.1,382.9999
1974-08-12T04:00:00.000+02:00,374.55992,374.55992,374.55992,374.55992,0.0955,374.55992
1974-08-12T07:00:00.000+02:00,378.15001,378.15001,378.15001,378.15001,0.186883,378.15001
1974-08-12T08:00:00.000+02:00,376.17001,376.17001,376.17001,376.17001,0.18,376.17001
1974-08-12T12:00:00.000+02:00,388.87,388.87,388.87,388.87,0.6859,388.87
1974-08-13T08:00:00.000+02:00,435.8484,435.8484,435.8484,435.8484,2.0249,435.8484
1974-08-14T06:00:00.000+02:00,427.436,427.436,427.436,427.436,0.0269,427.436
1974-08-14T09:00:00.000+02:00,418.83,418.83,418.83,418.83,0.249748,418.83
1974-08-14T10:00:00.000+02:00,420.34,420.34,420.34,420.34,0.015,420.34
1974-08-14T16:00:00.000+02:00,397.03,397.03,397.03,397.03,0.5,397.03
1974-08-14T17:00:00.000+02:00,403.907,403.907,403.907,403.907,0.042659,403.907
1974-08-15T04:00:00.000+02:00,416.7,416.7,416.7,416.7,7.6788,416.7
1974-08-15T22:00:00.000+02:00,418.177,418.177,418.177,418.177,0.5956,418.177
1974-08-19T06:00:00.000+02:00,440.416,440.416,440.416,440.416,0.0964,440.416
1974-08-20T18:00:00.000+02:00,447.535,447.535,447.535,447.535,0.7339,447.535
1974-08-22T04:00:00.000+02:00,430.333,430.333,430.333,430.333,0.3,430.333
1974-08-24T21:00:00.000+02:00,729.828,729.828,729.828,729.828,0.2901,729.828
1974-08-25T02:00:00.000+02:00,737.97,737.97,737.97,737.97,0.111626,737.97
1974-08-25T13:00:00.000+02:00,640.0,640.0,640.0,640.0,7.178179,640.0
1974-08-25T14:00:00.000+02:00,595.093,595.093,595.093,595.093,0.2444,595.093
1974-08-25T17:00:00.000+02:00,660.688,660.688,660.688,660.688,2.738,660.688
1974-08-25T18:00:00.000+02:00,667.118,667.118,667.118,667.118,1.6793,667.118
1974-08-26T01:00:00.000+02:00,647.77,647.77,647.77,647.77,2.51E-4,647.77
1974-08-26T10:00:00.000+02:00,677.8,677.8,677.8,677.8,0.0637,677.8
1974-08-29T03:00:00.000+02:00,659.389,659.389,659.389,659.389,0.524514,659.389
1974-08-29T04:00:00.000+02:00,652.03,652.03,652.03,652.03,0.5,652.03
1974-08-29T13:00:00.000+02:00,623.99,623.99,623.99,623.99,0.119,623.99
1974-08-29T16:00:00.000+02:00,565.713,565.713,565.713,565.713,0.0113,565.713
1974-08-29T17:00:00.000+02:00,532.95,532.95,532.95,532.95,9.382,532.95
1974-08-29T19:00:00.000+02:00,575.43,575.43,575.43,575.43,5.57E-4,575.43
1974-08-30T07:00:00.000+02:00,586.928,586.928,586.928,586.928,2.87453,586.928
1974-08-30T08:00:00.000+02:00,586.979,586.979,586.979,586.979,1.1022,586.979
1974-08-31T09:00:00.000+02:00,572.34,572.34,572.34,572.34,0.1345,572.34
1974-08-31T10:00:00.000+02:00,579.649,579.649,579.649,579.649,1.653346,579.649
1974-08-31T20:00:00.000+02:00,581.0,581.0,581.0,581.0,0.030844,581.0
1974-09-01T14:00:00.000+02:00,573.71,573.71,573.71,573.71,0.048871,573.71
1974-09-02T15:00:00.000+02:00,602.29,602.29,602.29,602.29,0.075002,602.29
1974-09-03T08:00:00.000+02:00,612.039,612.039,612.039,612.039,0.0103,612.039
1974-09-04T06:00:00.000+02:00,606.586,606.586,606.586,606.586,0.0718,606.586
1974-09-07T00:00:00.000+02:00,661.672,661.672,661.672,661.672,0.15,661.672
1974-09-07T14:00:00.000+02:00,697.287,697.287,697.287,697.287,0.041,697.287
1974-09-07T18:00:00.000+02:00,733.5,733.5,733.5,733.5,0.097691,733.5
1974-09-08T12:00:00.000+02:00,726.0,726.0,726.0,726.0,0.065001,726.0
1974-09-09T08:00:00.000+02:00,744.266,744.266,744.266,744.266,0.14,744.266
1974-09-11T16:00:00.000+02:00,772.38,772.38,772.38,772.38,0.129,772.38
1974-09-12T18:00:00.000+02:00,822.329,822.329,822.329,822.329,1.578,822.329
1974-09-12T23:00:00.000+02:00,917.95,917.95,917.95,917.95,0.17,917.95
1974-09-13T01:00:00.000+02:00,892.791,892.791,892.791,892.791,1.0,892.791
1974-09-13T04:00:00.000+02:00,893.57,893.57,893.57,893.57,0.111,893.57
1974-09-13T12:00:00.000+02:00,975.968,975.968,975.968,975.968,0.05,975.968
1974-09-13T13:00:00.000+02:00,971.792,971.792,971.792,971.792,0.028146,971.792
1974-09-14T04:00:00.000+02:00,1137.31,1137.31,1137.31,1137.31,0.077889,1137.31
1974-09-14T20:00:00.000+02:00,816.0,816.0,796.0,796.0,0.557604,796.0
1974-09-14T21:00:00.000+02:00,774.221,774.221,774.221,774.221,1.7,774.221
1974-09-14T23:00:00.000+02:00,818.26,818.26,818.26,818.26,0.121,818.26
1974-09-15T10:00:00.000+02:00,885.35,885.35,885.35,885.35,6.0,885.35
1974-09-15T11:00:00.000+02:00,892.106,892.106,892.106,892.106,0.011351,892.106
1974-09-15T19:00:00.000+02:00,916.19,916.19,916.19,916.19,0.1034,916.19
1974-09-16T22:00:00.000+02:00,980.602,980.602,980.602,980.602,0.127661,980.602
1974-09-16T23:00:00.000+02:00,982.601,982.601,982.601,982.601,0.499,982.601
1974-09-17T04:00:00.000+02:00,1011.456,1011.456,1011.456,1011.456,2.335646,1011.456
1974-09-17T08:00:00.000+02:00,1016.58,1016.58,1016.58,1016.58,0.091,1016.58
1974-09-17T13:00:00.000+02:00,1055.0,1055.0,1055.0,1055.0,0.1756,1055.0
1974-09-17T14:00:00.000+02:00,1055.1,1055.1,1055.1,1055.1,0.8982,1055.1
1974-09-17T17:00:00.000+02:00,975.523,975.523,950.0,950.0,2.468799,950.0
1974-09-17T22:00:00.000+02:00,1016.0,1016.0,1016.0,1016.0,0.05,1016.0
1974-09-18T08:00:00.000+02:00,1016.598,1016.598,1016.598,1016.598,0.1352,1016.598
1974-09-19T04:00:00.000+02:00,1179.468,1179.468,1179.468,1179.468,0.078908,1179.468
1974-09-20T11:00:00.000+02:00,1141.38,1141.38,1141.38,1141.38,0.338244,1141.38
1974-09-20T18:00:00.000+02:00,1175.5,1175.5,1175.5,1175.5,1.132323,1175.5
1974-09-20T22:00:00.000+02:00,1239.981,1239.981,1239.981,1239.981,0.309886,1239.981
1974-09-21T07:00:00.000+02:00,1065.272,1065.272,1065.272,1065.272,1.83,1065.272
1974-09-21T15:00:00.000+02:00,1023.753,1023.753,1023.753,1023.753,0.031009,1023.753
1974-09-21T18:00:00.000+02:00,1105.01,1105.01,1105.01,1105.01,0.235,1105.01
1974-09-21T23:00:00.000+02:00,1027.536,1027.536,1014.58,1014.58,7.550571,1014.58
1974-09-22T02:00:00.000+02:00,908.0,908.0,908.0,908.0,0.305,908.0
